name,profession,birth_year,death_year,known_for
Ada Lovelace,Mathematician,NA,NA,first computer algorithm
Marie Curie,Physicist and Chemist,NA,NA,"theory of radioactivity,  discovery of elements polonium and radium, first woman to win a Nobel Prize"
Janaki Ammal,Botanist,1897,1984,"hybrid species, biodiversity protection"
Chien-Shiung Wu,Physicist,1912,1997,"confim and refine theory of radioactive beta decy, Wu experiment overturning theory of parity"
Katherine Johnson,Mathematician,1918,2020,calculations of orbital mechanics critical to sending the first Americans into space
Rosalind Franklin,Chemist,1920,1958,NA
Vera Rubin,Astronomer,1928,2016,existence of dark matter
Gladys West,Mathematician,1930,NA,mathematical modeling of the shape of the Earth which served as the foundation of GPS technology
Flossie Wong-Staal,Virologist and Molecular Biologist,1947,NA,first scientist to clone HIV and create a map of its genes which led to a test for the virus
Jennifer Doudna,Biochemist,1964,NA,"one of the primary developers of CRISPR, a ground-breaking technology for editing genomes"
